name,domain,description,company
Project-11430,AI,Project-11430: AI project for analytics and ML.,Beta299 Dynamics
Project-11431,Security,Project-11431: Security project for analytics and ML.,Omni484 Analytics
Project-11432,Security,Project-11432: Security project for analytics and ML.,Alpha37 Works
Project-11433,Energy,Project-11433: Energy project for analytics and ML.,Tech456 Dynamics
Project-11434,Agriculture,Project-11434: Agriculture project for analytics and ML.,Core257 Dynamics
Project-11435,Healthcare,Project-11435: Healthcare project for analytics and ML.,Data445 Corp
Project-11436,AI,Project-11436: AI project for analytics and ML.,Prime196 Networks
Project-11437,Transport,Project-11437: Transport project for analytics and ML.,Bright153 Soft
Project-11438,EdTech,Project-11438: EdTech project for analytics and ML.,Bright28 Dynamics
Project-11439,Retail,Project-11439: Retail project for analytics and ML.,Prime71 Analytics
Project-11440,Agriculture,Project-11440: Agriculture project for analytics and ML.,Vision176 Dynamics
Project-11441,EdTech,Project-11441: EdTech project for analytics and ML.,Prime292 Solutions
Project-11442,Energy,Project-11442: Energy project for analytics and ML.,Beta74 Works
Project-11443,AdTech,Project-11443: AdTech project for analytics and ML.,Next442 AI
Project-11444,Retail,Project-11444: Retail project for analytics and ML.,Core399 Networks
Project-11445,Healthcare,Project-11445: Healthcare project for analytics and ML.,Tech250 Soft
Project-11446,AdTech,Project-11446: AdTech project for analytics and ML.,Vision324 Solutions
Project-11447,Retail,Project-11447: Retail project for analytics and ML.,Prime161 Works
Project-11448,AI,Project-11448: AI project for analytics and ML.,Cloud30 Works
Project-11449,Finance,Project-11449: Finance project for analytics and ML.,Next232 Solutions
Project-11450,Gaming,Project-11450: Gaming project for analytics and ML.,Prime108 Systems
Project-11451,Retail,Project-11451: Retail project for analytics and ML.,Bright296 Corp
Project-11452,Retail,Project-11452: Retail project for analytics and ML.,Omni251 AI
Project-11453,Healthcare,Project-11453: Healthcare project for analytics and ML.,Core67 Solutions
Project-11454,Security,Project-11454: Security project for analytics and ML.,Prime223 Solutions
Project-11455,AI,Project-11455: AI project for analytics and ML.,Alpha220 AI
Project-11456,EdTech,Project-11456: EdTech project for analytics and ML.,Alpha220 AI
Project-11457,Energy,Project-11457: Energy project for analytics and ML.,Alpha197 Networks
Project-11458,Finance,Project-11458: Finance project for analytics and ML.,Neo20 Works
Project-11459,Transport,Project-11459: Transport project for analytics and ML.,Bright103 Networks
Project-11460,AdTech,Project-11460: AdTech project for analytics and ML.,Omni487 AI
Project-11461,Finance,Project-11461: Finance project for analytics and ML.,Next457 Networks
Project-11462,AdTech,Project-11462: AdTech project for analytics and ML.,Smart388 Soft
Project-11463,Transport,Project-11463: Transport project for analytics and ML.,Vision98 Corp
Project-11464,Finance,Project-11464: Finance project for analytics and ML.,Beta347 Analytics
Project-11465,Finance,Project-11465: Finance project for analytics and ML.,Neo321 Works
Project-11466,Agriculture,Project-11466: Agriculture project for analytics and ML.,Omni116 Dynamics
Project-11467,AdTech,Project-11467: AdTech project for analytics and ML.,Prime160 Networks
Project-11468,Retail,Project-11468: Retail project for analytics and ML.,Vision53 Networks
Project-11469,EdTech,Project-11469: EdTech project for analytics and ML.,Omni258 AI
Project-11470,Security,Project-11470: Security project for analytics and ML.,Bright157 Solutions
Project-11471,Retail,Project-11471: Retail project for analytics and ML.,Cloud34 Labs
Project-11472,Finance,Project-11472: Finance project for analytics and ML.,Bright153 Soft
Project-11473,Gaming,Project-11473: Gaming project for analytics and ML.,Beta234 Networks
Project-11474,Transport,Project-11474: Transport project for analytics and ML.,Vision306 Analytics
Project-11475,Transport,Project-11475: Transport project for analytics and ML.,Alpha173 Soft
Project-11476,EdTech,Project-11476: EdTech project for analytics and ML.,Smart455 Networks
Project-11477,AI,Project-11477: AI project for analytics and ML.,Prime69 Works
Project-11478,AdTech,Project-11478: AdTech project for analytics and ML.,Tech462 Corp
Project-11479,Energy,Project-11479: Energy project for analytics and ML.,Tech184 Labs
Project-11480,Agriculture,Project-11480: Agriculture project for analytics and ML.,Neo85 Soft
Project-11481,EdTech,Project-11481: EdTech project for analytics and ML.,Tech10 Works
Project-11482,Agriculture,Project-11482: Agriculture project for analytics and ML.,Neo115 Dynamics
Project-11483,Retail,Project-11483: Retail project for analytics and ML.,Core109 Analytics
Project-11484,Finance,Project-11484: Finance project for analytics and ML.,Next302 Soft
Project-11485,Transport,Project-11485: Transport project for analytics and ML.,Beta87 Systems
Project-11486,Healthcare,Project-11486: Healthcare project for analytics and ML.,Cloud188 Labs
Project-11487,AI,Project-11487: AI project for analytics and ML.,Edge406 Dynamics
Project-11488,Finance,Project-11488: Finance project for analytics and ML.,Next193 AI
Project-11489,AI,Project-11489: AI project for analytics and ML.,Next131 Labs
Project-11490,Transport,Project-11490: Transport project for analytics and ML.,Prime320 Corp
Project-11491,Finance,Project-11491: Finance project for analytics and ML.,Data305 Solutions
Project-11492,Finance,Project-11492: Finance project for analytics and ML.,Bright339 Networks
Project-11493,Healthcare,Project-11493: Healthcare project for analytics and ML.,Bright335 Systems
Project-11494,Finance,Project-11494: Finance project for analytics and ML.,Core25 Works
Project-11495,Healthcare,Project-11495: Healthcare project for analytics and ML.,Bright214 Soft
Project-11496,Energy,Project-11496: Energy project for analytics and ML.,Bright195 Analytics
Project-11497,Healthcare,Project-11497: Healthcare project for analytics and ML.,Tech281 AI
Project-11498,Gaming,Project-11498: Gaming project for analytics and ML.,Edge243 Corp
Project-11499,Retail,Project-11499: Retail project for analytics and ML.,Neo106 Solutions
